\'em            ax m sp
shielding       sh iy l d ix ng sp
shimmered       sh ih m axr d sp
shimmering      sh ih m axr ix ng sp
shimmers        sh ih m axr z sp
ship            sh ih p sp
ship's          sh ih p s sp
shipbuilding    sh ih p b ih l d ix ng sp
ships           sh ih p s sp
shirt           sh er t sp
shivering       sh ih v axr ix ng sp
shock           sh aa k sp
shocked         sh aa k t sp
shocking        sh aa k ix ng sp
shocks          sh aa k s sp
shoelaces       sh uw l ey s ix z sp
shoes           sh uw z sp
shone           sh ow n sp
shook           sh uh k sp
shoot           sh uw t sp
shop            sh aa p sp
shopkeepers     sh aa p k iy p axr z sp
short           sh ao r t sp
shortage        sh ao r t ix jh sp
shorten         sh ao r t en sp
shot            sh aa t sp
should          sh uh d sp
shouted         sh aw t ix d sp
shove           sh ah v sp
shovels         sh ah v el z sp
shoving         sh ah v ix ng sp
show            sh ow sp
showed          sh ow d sp
showers         sh aw axr z sp
shown           sh ow n sp
shows           sh ow z sp
shrapnel        sh r ae p n el sp
shredded        sh r eh d ix d sp
shrieked        sh r iy k t sp
shrinking       sh r ih ng k ix ng sp
shrubs          sh r ah b z sp
shrugged        sh r ah g d sp
shucks          sh ah k s sp
shuddering      sh ah d axr ix ng sp
shuffle         sh ah f el sp
shut            sh ah t sp
shy             sh ay sp
siamese         s ay ax m iy z sp
sick            s ih k sp
side            s ay d sp
sides           s ay d z sp
sidewinder      s ay d w ay n d axr sp
sigh            s ay sp
sighing         s ay ix ng sp
sign            s ay n sp
signals         s ih g n el z sp
signed          s ay n d sp
significant     s ih g n ih f ix k ax n t sp
signs           s ay n z sp
silence         s ay l ax n s sp
silent          s ay l ax n t sp
silky           s ih l k iy sp
silver          s ih l v axr sp
simmer          s ih m axr sp
simmered        s ih m axr d sp
simple          s ih m p el sp
simpler         s ih m p l axr sp
simplest        s ih m p l ax s t sp
simply          s ih m p l iy sp
sin             s ih n sp
since           s ih n s sp
sincere         s ix n s ih r sp
sincerity       s ix n s eh r ix t iy sp
sing            s ih ng sp
singer's        s ih ng g axr z sp
single          s ih ng g el sp
singular        s ih ng g y uh l axr sp
sinuous         s ih n y uw ix s sp
sinus           s ay n ix s sp
sit             s ih t sp
site            s ay t sp
sitting         s ih t ix ng sp
situation       s ih ch uw ey sh ix n sp
six             s ih k s sp
sixty           s ih k s t iy sp
size            s ay z sp
sized           s ay z d sp
skating         s k ey t ix ng sp
skewers         s k y uw axr z sp
ski             s k iy sp
skiffs          s k ih f s sp
skiing          s k iy ix ng sp
skill           s k ih l sp
skilled         s k ih l d sp
skills          s k ih l z sp
skin            s k ih n sp
skinless        s k ih n l ax s sp
skirt           s k er t sp
skirts          s k er t s sp
sky             s k ay sp
skywave         s k ay w ey v sp
slammed         s l ae m d sp
slanted         s l ae n t ix d sp
slate           s l ey t sp
slavery         s l ey v axr iy sp
sleeping        s l iy p ix ng sp
sleepy          s l iy p iy sp
sleigh          s l ey sp
slept           s l eh p t sp
slightly        s l ay t l iy sp
slip            s l ih p sp
slipped         s l ih p t sp
slipping        s l ih p ix ng sp
slopes          s l ow p s sp
sloppy          s l aa p iy sp
slow            s l ow sp
slowed          s l ow d sp
slowly          s l ow l iy sp
sludge          s l ah jh sp
slug            s l ah g sp
slugging        s l ah g ix ng sp
slyly           s l ay l iy sp
small           s m ao l sp
smash           s m ae sh sp
smashed         s m ae sh t sp
smell           s m eh l sp
smelled         s m eh l d sp
smile           s m ay l sp
smiled          s m ay l d sp
smiling         s m ay l ix ng sp
smiths          s m ih th s sp
smoke           s m ow k sp
smolderingly    s m ow l d axr ix ng l iy sp
smooth          s m uw dh sp
smothered       s m ah dh axr d sp
snakes          s n ey k s sp
snapper         s n ae p axr sp
snapping        s n ae p ix ng sp
snarled         s n aa r l d sp
snatched        s n ae ch t sp
snips           s n ih p s sp
snow            s n ow sp
snowed          s n ow d sp
so              s ow sp
soak            s ow k sp
sober           s ow b axr sp
social          s ow sh el sp
socks           s aa k s sp
soft            s ao f t sp
softly          s ao f t l iy sp
soil            s oy l sp
soils           s oy l z sp
sold            s ow l d sp
soldiers        s ow l jh axr z sp
solicits        s ax l ih s ix t s sp
solid           s aa l ix d sp
solidarity      s aa l ax d ae r ax t iy sp
solitary        s aa l ix t eh r iy sp
solitude        s aa l ix t uw d sp
solution        s ax l uw sh ix n sp
solved          s ao l v d sp
solves          s ao l v z sp
some            s ah m sp
somebody        s ah m b aa d iy sp
somebody'll     s ah m b aa d iy el sp
somehow         s ah m hh aw sp
someone         s ah m w ah n sp
someplace       s ah m p l ey s sp
something       s ah m th ih ng sp
sometimes       s ah m t ay m z sp
somewhat        s ah m hh w aa t sp
somewhere       s ah m hh w ae r sp
son             s ah n sp
song            s ao ng sp
soon            s uw n sp
soothe          s uw dh sp
sophisticated   s ax f ih s t ix k ey t ix d sp
sophistication  s ax f ih s t ix k ey sh ix n sp
sorcery         s ao r s axr iy sp
sordid          s ao r d ix d sp
sorrow          s aa r ow sp
sorry           s aa r iy sp
sort            s ao r t sp
sought          s ao t sp
soul            s ow l sp
souls           s ow l z sp
sound           s aw n d sp
sounded         s aw n d ix d sp
soup            s uw p sp
sour            s aw axr sp
source          s ao r s sp
sources         s ao r s ix z sp
south           s aw th sp
southwest       s aw th w eh s t sp
soybeans        s oy b iy n z sp
soysauce        s oy s ao s sp
space           s p ey s sp
spaced          s p ey s t sp
spade           s p ey d sp
spades          s p ey d z sp
spanish         s p ae n ih sh sp
spatial         s p ey sh el sp
speak           s p iy k sp
speaker         s p iy k axr sp
special         s p eh sh el sp
specialty       s p eh sh el t iy sp
species         s p iy sh iy z sp
specific        s p ax s ih f ih k sp
spectacular     s p eh k t ae k y uh l axr sp
speculated      s p eh k y uh l ey t ix d sp
speech          s p iy ch sp
sphere          s f ih r sp
spherical       s f ih r ih k el sp
spike           s p ay k sp
spirit          s p ih r ix t sp
spirited        s p ih r ix t ix d sp
spirits         s p ih r ix t s sp
spiritual       s p ih r ih ch uw el sp
spit            s p ih t sp
splashed        s p l ae sh t sp
splendidly      s p l eh n d ix d l iy sp
splendor        s p l eh n d axr sp
splinter        s p l ih n t axr sp
splurge         s p l er jh sp
splurged        s p l er jh d sp
spoilage        s p oy l ix jh sp
spoiled         s p oy l d sp
spoke           s p ow k sp
spokes          s p ow k s sp
sponges         s p ah n jh ix z sp
sponsors        s p aa n s axr z sp
sport           s p ao r t sp
sports          s p ao r t s sp
sportsmen       s p ao r t s m ax n sp
spot            s p aa t sp
spotted         s p aa t ix d sp
sprang          s p r ae ng sp
spray           s p r ey sp
spread          s p r eh d sp
spring          s p r ih ng sp
sprouted        s p r aw t ix d sp
spun            s p ah n sp
spurious        s p y uh r iy ax s sp
spurs           s p er z sp
sputniks        s p ah t n ih k s sp
square          s k w ae r sp
squared         s k w ae r d sp
squashy         s k w aa sh iy sp
squeezed        s k w iy z d sp
squelched       s k w eh l ch t sp
stab            s t ae b sp
stable          s t ey b el sp
staff           s t ae f sp
stag            s t ae g sp
stage           s t ey jh sp
stake           s t ey k sp
stampede        s t ae m p iy d sp
stand           s t ae n d sp
standardized    s t ae n d axr d ay z d sp
standards       s t ae n d axr d z sp
standby         s t ae n d b ay sp
star            s t aa r sp
starchy         s t aa r ch iy sp
stared          s t ae r d sp
start           s t aa r t sp
started         s t aa r t ix d sp
startling       s t aa r t el ix ng sp
state           s t ey t sp
statement       s t ey t m ax n t sp
states          s t ey t s sp
statue          s t ae ch uw sp
statuesque      s t ae ch uw eh s k sp
status          s t ae t ix s sp
statutory       s t ae ch ax t ao r iy sp
stay            s t ey sp
stayed          s t ey d sp
steam           s t iy m sp
steaming        s t iy m ix ng sp
steel           s t iy l sp
steep           s t iy p sp
stems           s t eh m z sp
step            s t eh p sp
steph           s t eh f sp
stepmother      s t eh p m ah dh axr sp
steps           s t eh p s sp
steve           s t iy v sp
stew            s t uw sp
stick           s t ih k sp
stiffly         s t ih f l iy sp
still           s t ih l sp
stimulating     s t ih m y uw l ey t ix ng sp
stinging        s t ih ng ix ng sp
stings          s t ih ng z sp
stirred         s t er d sp
stirrin         s t er en sp
stirrup         s t er ah p sp
stock           s t aa k sp
stockroom       s t aa k r uw m sp
stomach         s t ah m ax k sp
stomped         s t aa m p t sp
stone           s t ow n sp
stoneware       s t ow n w ae r sp
stood           s t uh d sp
stoop           s t uw p sp
stop            s t aa p sp
stopped         s t aa p t sp
stopping        s t aa p ix ng sp
store           s t ao r sp
stored          s t ao r d sp
storms          s t ao r m z sp
story           s t ao r iy sp
storyline       s t ao r iy l ay n sp
storylines      s t ao r iy l ay n z sp
straight        s t r ey t sp
straightened    s t r ey t en d sp
straightforward s t r ey t f ao r w axr d sp
strain          s t r ey n sp
strategic       s t r ax t iy jh ih k sp
strategy        s t r ae t ix jh iy sp
straw           s t r ao sp
strawberries    s t r ao b eh r iy z sp
strawberry      s t r ao b eh r iy sp
stream          s t r iy m sp
streamed        s t r iy m d sp
street          s t r iy t sp
strength        s t r eh ng th sp
stress          s t r eh s sp
stretched       s t r eh ch t sp
strikingly      s t r ay k ix ng l iy sp
strip           s t r ih p sp
strippers       s t r ih p axr z sp
strolled        s t r ow l d sp
strong          s t r ao ng sp
stronghold      s t r ao ng hh ow l d sp
strongly        s t r ao ng l iy sp
struck          s t r ah k sp
structure       s t r ah k ch axr sp
struggle        s t r ah g el sp
struggling      s t r ah g el ix ng sp
stuck           s t ah k sp
students        s t uw d en t s sp
students'       s t uw d en t s sp
studio          s t uw d iy ow sp
study           s t ah d iy sp
stumping        s t ah m p ix ng sp
stung           s t ah ng sp
stupid          s t uw p ix d sp
style           s t ay l sp
stylish         s t ay l ih sh sp
subdued         s ah b d uw d sp
subject         s ah b jh ih k t sp
submarine       s ah b m axr iy n sp
submit          s ax b m ih t sp
substantial     s ah b s t ae n sh el sp
substantially   s ah b s t ae n sh ax l iy sp
subtitles       s ah b t ay t el z sp
subtraction     s ah b t r ae k sh ix n sp
suburban        s ah b er b ix n sp
suburbanites    s ah b er b ix n ay t s sp
suburbs         s ah b er b z sp
subway          s ah b w ey sp
succeeding      s ax k s iy d ix ng sp
success         s uh k s eh s sp
successfully    s uh k s eh s f uh l iy sp
successors      s uh k s eh s axr z sp
such            s ah ch sp
sucking         s ah k ix ng sp
sudden          s ah d en sp
suddenly        s ah d en l iy sp
suey            s uw iy sp
suffer          s ah f axr sp
suffered        s ah f axr d sp
sufficiency     s ax f ih sh ix n s iy sp
sufficient      s ax f ih sh ix n t sp
sufficiently    s ax f ih sh ix n t l iy sp
sugar           sh uh g axr sp
suggestion      s ax jh eh s ch en sp
suit            s uw t sp
suitable        s uw t ax b el sp
suite           s w iy t sp
sullen          s ah l ax n sp
summer          s ah m axr sp
summertime      s ah m axr t ay m sp
sun             s ah n sp
sunburn         s ah n b er n sp
sunburned       s ah n b er n d sp
sundae          s ah n d ey sp
sundown         s ah n d aw n sp
sunlight        s ah n l ay t sp
sunshine        s ah n sh ay n sp
superbly        s uh p er b l iy sp
superior        s ax p ih r iy axr sp
superiors       s ax p ih r iy axr z sp
supervisory     s uw p axr v ay z axr iy sp
supper          s ah p axr sp
supplies        s ax p l ay z sp
supporters      s ax p ao r t axr z sp
supports        s ax p ao r t s sp
suppose         s ax p ow z sp
supreme         s ax p r iy m sp
sure            sh uh r sp
surely          sh uh r l iy sp
surface         s er f ax s sp
surfaceness     s er f ax s n ix s sp
surfeit         s er f ax t sp
surgeon         s er jh ix n sp
surplus         s er p l ah s sp
surprise        s axr p r ay z sp
surprising      s axr p r ay z ix ng sp
surrender       s axr eh n d axr sp
surrounded      s axr aw n d ix d sp
survey          s er v ey sp
surveying       s axr v ey ix ng sp
survival        s axr v ay v el sp
survive         s axr v ay v sp
susceptible     s ix s eh p t ax b el sp
suspect         s ix s p eh k t sp
suspiciously    s ix s p ih sh ax s l iy sp
swam            s w ae m sp
swatches        s w aa ch ix z sp
sweaters        s w eh t axr z sp
sweet           s w iy t sp
sweetly         s w iy t l iy sp
swells          s w eh l z sp
swiftly         s w ih f t l iy sp
swig            s w ih g sp
swing           s w ih ng sp
swiss           s w ih s sp
switched        s w ih ch t sp
switches        s w ih ch ix z sp
swivel          s w ih v el sp
swollen         s w ow l ix n sp
swung           s w ah ng sp
symbolic        s ih m b aa l ih k sp
symbolism       s ih m b ax l ih z em sp
symbolize       s ih m b ax l ay z sp
symbols         s ih m b el z sp
symmetrical     s ax m eh t r ih k el sp
symposium       s ih m p ow z iy ax m sp
symptom         s ih m p t ax m sp
synonymous      s ix n aa n ax m ax s sp
system          s ih s t ax m sp
systems         s ih s t ax m z sp
table           t ey b el sp
tables          t ey b el z sp
tackle          t ae k el sp
tad             t ae d sp
tadpole         t ae d p ow l sp
tails           t ey l z sp
take            t ey k sp
taken           t ey k ix n sp
takes           t ey k s sp
takin'          t ey k en sp
taking          t ey k ix ng sp
tale            t ey l sp
talk            t ao k sp
talked          t ao k t sp
talking         t ao k ix ng sp
tall            t ao l sp
tallyho         t ae l iy hh ow sp
tame            t ey m sp
tan             t ae n sp
tantalizing     t ae n t ax l ay z ix ng sp
tape            t ey p sp
tapes           t ey p s sp
tapestry        t ae p ax s t r iy sp
targets         t aa r g ix t s sp
task            t ae s k sp
tasks           t ae s k s sp
tasteful        t ey s t f uh l sp
tastes          t ey s t s sp
taut            t ao t sp
tax             t ae k s sp
taxi            t ae k s iy sp
taxicab         t ae k s iy k ae b sp
taxpayer        t ae k s p ey axr sp
tea             t iy sp
teach           t iy ch sp
teacher         t iy ch axr sp
teaching        t iy ch ix ng sp
team            t iy m sp
tears           t ih r z sp
teased          t iy z d sp
teaspoons       t iy s p uw n z sp
technical       t eh k n ih k el sp
technique       t eh k n iy k sp
techniques      t eh k n iy k s sp
teems           t iy m z sp
teeth           t iy th sp
telephone       t eh l ax f ow n sp
telephoning     t eh l ax f ow n ix ng sp
tell            t eh l sp
temper          t eh m p axr sp
temperate       t eh m p axr ix t sp
temptation      t eh m p t ey sh ix n sp
temptations     t eh m p t ey sh ix n z sp
ten             t eh n sp
tenant's        t eh n ix n t s sp
tend            t eh n d sp
tended          t eh n d ix d sp
tenderness      t eh n d axr n ix s sp
tensely         t eh n s l iy sp
tension         t eh n sh ix n sp
tenure          t eh n y axr sp
term            t er m sp
terms           t er m z sp
terrible        t eh r ax b el sp
terrier         t eh r iy axr sp
terrific        t axr ih f ih k sp
terrifying      t eh r ax f ay ix ng sp
test            t eh s t sp
testicle        t eh s t ih k el sp
testimony       t eh s t ix m ow n iy sp
tests           t eh s t s sp
tetanus         t eh t n ix s sp
tethered        t eh dh axr d sp
texture         t eh k s ch axr sp
than            dh ae n sp
thank           th ae ng k sp
thanks          th ae ng k s sp
thanksgiving    th ae ng k s g ih v ix ng sp
that            dh ae t sp
that's          dh ae t s sp
thaw            th ao sp
the             dh ax sp
theaters        th iy t axr z sp
their           dh ae r sp
them            dh eh m sp
theme           th iy m sp
themes          th iy m z sp
themselves      dh eh m s eh l v z sp
then            dh eh n sp
theocracy       th iy aa k r ix s iy sp
theory          th ih r iy sp
therapies       th eh r ax p iy z sp
therapy         th eh r ax p iy sp
there           dh ae r sp
there's         dh ae r z sp
thereafter      dh ae r ae f t axr sp
thereby         dh ae r b ay sp
thereupon       dh ae r ah p ao n sp
thermal         th er m el sp
thermometer     th axr m aa m ax t axr sp
thermometers    th axr m aa m ax t axr z sp
thermonuclear   th er m ow n uw k l iy axr sp
these           dh iy z sp
they            dh ey sp
they'd          dh ey d sp
they'll         dh ey l sp
they're         dh ae r sp
they've         dh ey v sp
thick           th ih k sp
thief           th iy f sp
thimble         th ih m b el sp
thin            th ih n sp
thing           th ih ng sp
things          th ih ng z sp
think           th ih ng k sp
thinker         th ih ng k axr sp
thinkin         th ih ng k ix n sp
thinking        th ih ng k ix ng sp
thinks          th ih ng k s sp
third           th er d sp
thirty          th er t iy sp
this            dh ih s sp
thomas          t aa m ix s sp
thoroughbred    th er ow b r eh d sp
thoroughfares   th er ow f ae r z sp
thoroughly      th er ow l iy sp
those           dh ow z sp
thou            dh aw sp
though          dh ow sp
thought         th ao t sp
thoughtless     th ao t l ix s sp
thousand        th aw z en d sp
thread          th r eh d sp
three           th r iy sp
threw           th r uw sp
thrill          th r ih l sp
throat          th r ow t sp
thrombosis      th r aa m b ow s ix s sp
through         th r uw sp
throughout      th r uw aw t sp
thrower         th r ow axr sp
thrusting       th r ah s t ix ng sp
thruway         th r uw w ey sp
thump           th ah m p sp
thus            dh ah s sp
thwarted        th w ao r t ix d sp
thyroid         th ay r oy d sp
tidbits         t ih d b ih t s sp
tides           t ay d z sp
tie             t ay sp
tied            t ay d sp
tiles           t ay l z sp
tilted          t ih l t ix d sp
tim             t ih m sp
timber          t ih m b axr sp
time            t ay m sp
timers          t ay m axr z sp
times           t ay m z sp
timing          t ay m ix ng sp
tin             t ih n sp
tinkled         t ih ng k el d sp
tinsel          t ih n s el sp
tiny            t ay n iy sp
tips            t ih p s sp
tired           t ay axr d sp
title           t ay t el sp
titter          t ih t axr sp
to              t uw sp
tobacco         t ax b ae k ow sp
today           t ix d ey sp
today's         t ix d ey z sp
todd            t aa d sp
toddler         t aa d l axr sp
toe             t ow sp
tofu            t ow f uw sp
together        t ix g eh dh axr sp
toilet          t oy l ix t sp
told            t ow l d sp
tolerated       t aa l axr ey t ix d sp
toll            t ow l sp
tom             t aa m sp
tomblike        t uw m l ay k sp
tomboy          t aa m b oy sp
tombstones      t uw m s t ow n z sp
tomorrow        t ax m aa r ow sp
tongue          t ah ng sp
too             t uw sp
took            t uh k sp
tool            t uw l sp
toothpaste      t uw th p ey s t sp
top             t aa p sp
topography      t ax p aa g r ax f iy sp
topping         t aa p ix ng sp
tore            t ao r sp
torn            t ao r n sp
tornados        t ao r n ey d ow z sp
toss            t ao s sp
tossed          t ao s t sp
total           t ow t el sp
touch           t ah ch sp
touched         t ah ch t sp
touches         t ah ch ix z sp
tough           t ah f sp
tour            t uh r sp
toward          t ao r d sp
towards         t ao r d z sp
towel           t aw el sp
town            t aw n sp
toxic           t aa k s ih k sp
toy             t oy sp
traced          t r ey s t sp
track           t r ae k sp
tracks          t r ae k s sp
trade           t r ey d sp
tradition       t r ax d ih sh ix n sp
traditionalism  t r ax d ih sh ix n el ih z em sp
traffic         t r ae f ih k sp
tragedy         t r ae jh ix d iy sp
tragic          t r ae jh ih k sp
trail           t r ey l sp
train           t r ey n sp
training        t r ey n ix ng sp
trait           t r ey t sp
traits          t r ey t s sp
tranquilizers   t r ae ng k w ih l ay z axr z sp
transcendence   t r ae n s eh n d ix n s sp
transience      t r ae n s iy ix n s sp
transit         t r ae n s ix t sp
translated      t r ae n s l ey t ix d sp
transparent     t r ae n s p ae r ax n t sp
trap            t r ae p sp
trauma          t r ao m ax sp
travel          t r ae v el sp
travelers       t r ae v el axr z sp
travelled       t r ae v el d sp
treated         t r iy t ix d sp
treatment       t r iy t m ax n t sp
tree            t r iy sp
trees           t r iy z sp
trembled        t r eh m b el d sp
tremor          t r eh m axr sp
tremulously     t r eh m y uh l ax s l iy sp
trend           t r eh n d sp
trespassing     t r eh s p ae s ix ng sp
trial           t r ay el sp
trials          t r ay el z sp
tribes          t r ay b z sp
tried           t r ay d sp
tries           t r ay z sp
trifle          t r ay f el sp
triggered       t r ih g axr d sp
trim            t r ih m sp
trip            t r ih p sp
trips           t r ih p s sp
trish           t r ih sh sp
triumphant      t r ay ah m f ax n t sp
trouble         t r ah b el sp
trousers        t r aw z axr z sp
truck           t r ah k sp
trucks          t r ah k s sp
true            t r uw sp
truism          t r uw ih z em sp
truly           t r uw l iy sp
trustworthy     t r ah s t w er dh iy sp
truth           t r uw th sp
try             t r ay sp
trying          t r ay ix ng sp
tsunami         t s uw n aa m iy sp
tub             t ah b sp
tube            t uw b sp
tugboats        t ah g b ow t s sp
tumbled         t ah m b el d sp
tunafish        t uw n ax f ih sh sp
turbulent       t er b y uh l ax n t sp
turmoil         t er m oy l sp
turn            t er n sp
turned          t er n d sp
turnpikes       t er n p ay k s sp
turns           t er n z sp
turpentine      t er p ax n t ay n sp
turquoise       t er k oy z sp
tweezers        t w iy z axr z sp
twelve          t w eh l v sp
twenty          t w eh n t iy sp
twice           t w ay s sp
twigged         t w ih g d sp
twins           t w ih n z sp
twisted         t w ih s t ix d sp
two             t uw sp
twofold         t uw f ow l d sp
tycoons         t ay k uw n z sp
type            t ay p sp
typhoid         t ay f oy d sp
typhus          t ay f ax s sp
typical         t ih p ih k el sp
typically       t ih p ih k l iy sp
tyrannical      t ix r ae n ih k el sp
tyranny         t ih r ae n iy sp
ugly            ah g l iy sp
unabashed       ah n ax b ae sh t sp
unanimity       y uw n ix n ih m ax t iy sp
unappreciated   ah n ax p r iy sh iy ey t ix d sp
unauthentic     ah n ao th eh n t ih k sp
unavailable     ah n ax v ey l ix b el sp
unbeatable      ah n b iy t ax b el sp
unbelievable    ah n b ax l iy v ax b el sp
unbound         ah n b aw n d sp
unbroken        ah n b r ow k ix n sp
uncommon        ah n k aa m ax n sp
unconvincing    ah n k ax n v ih n s ix ng sp
uncover         ah n k ah v axr sp
undeniably      ah n d iy n ay ax b l iy sp
under           ah n d axr sp
underbrush      ah n d axr b r ah sh sp
underfoot       ah n d axr f uh t sp
understanding   ah n d axr s t ae n d ix ng sp
understandingly ah n d axr s t ae n d ix ng l iy sp
understood      ah n d axr s t uh d sp
underwriting    ah n d axr r ay t ix ng sp
unduly          ah n d uw l iy sp
uneasily        ah n iy z ax l iy sp
unexpected      ah n ih k s p eh k t ix d sp
unfenced        ah n f eh n s t sp
unfortunately   ah n f ao r ch ix n ix t l iy sp
unfortunates    ah n f ao r ch ix n ix t s sp
unhappy         ah n hh ae p iy sp
unhurried       ah n hh er iy d sp
uni             y uw n iy sp
uniforms        y uw n ix f ao r m z sp
uninterrupted   ah n ih n t axr ah p t ix d sp
unions          y uw n y ix n z sp
uniqueness      y uw n iy k n ix s sp
unit            y uw n ix t sp
units           y uw n ix t s sp
unity           y uw n ix t iy sp
universality    y uw n ix v er s ae l ix t iy sp
universe        y uw n ax v er s sp
university      y uw n ix v er s ix t iy sp
unknown         ah n ow n sp
unless          ax n l eh s sp
unlucky         ah n l ah k iy sp
unmagnified     ah n m ae g n ih f ay d sp
unoccupied      ah n aa k y uw p ay d sp
unrealistic     ah n r iy l ih s t ih k sp
unreasoning     ah n r iy z en ix ng sp
unsuspecting    ah n s ah s p eh k t ix ng sp
until           ax n t ih l sp
unusually       ah n y uw zh uw ax l iy sp
unwaveringly    ah n w ey v axr ix ng sp
up              ah p sp
upbeat          ah p b iy t sp
updating        ah p d ey t ix ng sp
upgrade         ah p g r ey d sp
uplift          ah p l ih f t sp
upmanship       ah p m ax n sh ih p sp
upon            ax p ao n sp
upper           ah p axr sp
ups             ah p s sp
upside          ah p s ay d sp
upstairs        ah p s t ae r z sp
upward          ah p w axr d sp
urchins         er ch ix n z sp
uremia          y uh r iy m iy ax sp
urge            er jh sp
urged           er jh d sp
urgent          er jh ix n t sp
urges           er jh ix z sp
urging          er jh ix ng sp
us              ah s sp
usages          y uw s ih jh ix z sp
use             y uw s sp
use             y uw z sp
used            y uw z d sp
useful          y uw s f el sp
useless         y uw s l ax s sp
uses            y uw z ix z sp
using           y uw z ix ng sp
usual           y uw zh uw el sp
usually         y uw zh uw ax l iy sp
utilizing       y uw t ax l ay z ix ng sp
utmost          ah t m ow s t sp
utopianism      y uw t ow p iy en ih z em sp
utopians        y uw t ow p iy en z sp
utter           ah t axr sp
vacant          v ey k ix n t sp
vacation        v ey k ey sh ix n sp
vacuum          v ae k y uw m sp
vaguely         v ey g l iy sp
vain            v ey n sp
valiant         v ae l y ax n t sp
validity        v ax l ih d ix t iy sp
valley          v ae l iy sp
valleys         v ae l iy z sp
valuables       v ae l y uh b el z sp
value           v ae l y uw sp
values          v ae l y uw z sp
vanilla         v ax n ih l ax sp
vanished        v ae n ih sh t sp
vanishing       v ae n ih sh ix ng sp
vanquished      v ae n k w ih sh t sp
vapor           v ey p axr sp
vaporization    v ey p axr ax z ey sh ix n sp
variable        v ae r iy ax b el sp
variety         v axr ay ax t iy sp
various         v ae r iy ax s sp
vascular        v ae s k y uh l axr sp
vaudeville      v ao d v el sp
vault           v ao l t sp
vaulting        v ao l t ix ng sp
veer            v ih r sp
veered          v ih r d sp
vegetable       v eh jh t ax b el sp
vegetables      v eh jh t ax b el z sp
vehicles        v iy hh ih k el z sp
velocities      v ax l aa s ix t iy z sp
vending         v eh n d ix ng sp
ventures        v eh n ch axr z sp
verb            v er b sp
verbal          v er b el sp
verbalize       v er b ax l ay z sp
vermouth        v axr m uw th sp
verse           v er s sp
vertebral       v er t ax b r el sp
vertigo         v er t ih g ow sp
very            v eh r iy sp
veterans'       v eh t axr ax n z sp
veterinarian    v eh t axr ax n eh r iy ax n sp
victim          v ih k t ax m sp
victor          v ih k t axr sp
vietnamese      v iy eh t n aa m iy z sp
view            v y uw sp
views           v y uw z sp
vigilance       v ih jh el ax n s sp
vigorous        v ih g er ax s sp
village         v ih l ih jh sp
villains        v ih l ix n z sp
violates        v ay ax l ey t s sp
violence        v ay el ax n s sp
violent         v ay l ax n t sp
violently       v ay l ax n t l iy sp
violin          v ay ax l ih n sp
virtually       v er ch uw ax l iy sp
virtue          v er ch uw sp
virtues         v er ch uw z sp
virus           v ay r ix s sp
visage          v ih z ih jh sp
viscosity       v ih s k aa s ix t iy sp
visibly         v ih z ix b l iy sp
vision          v ih zh ix n sp
visit           v ih z ix t sp
visiting        v ih z ix t ix ng sp
visitor         v ih z ix t axr sp
visitors        v ih z ix t axr z sp
visual          v ih zh uw el sp
vital           v ay t el sp
vitality        v ay t ae l ix t iy sp
vitamin         v ay t ax m ax n sp
vivid           v ih v ix d sp
vividly         v ih v ix d l iy sp
vocational      v ow k ey sh ix n el sp
vodka           v aa d k ax sp
voice           v oy s sp
voltages        v ow l t ix jh ix z sp
volume          v aa l y uw m sp
volumes         v aa l y uw m z sp
volunteered     v aa l ix n t ih r d sp
volunteers      v aa l ix n t ih r z sp
votes           v ow t s sp
voyage          v oy ih jh sp
wagon           w ae g ix n sp
wagons          w ae g ix n z sp
wait            w ey t sp
waited          w ey t ix d sp
waiting         w ey t ix ng sp
waking          w ey k ix ng sp
walk            w ao k sp
walked          w ao k t sp
walking         w ao k ix ng sp
wall            w ao l sp
walls           w ao l z sp
wandered        w aa n d axr d sp
wanna           w ah n ax sp
want            w ao n t sp
wanted          w ao n t ix d sp
wants           w ao n t s sp
war             w ao r sp
ward            w ao r d sp
warfare         w ao r f ae r sp
warlike         w ao r l ay k sp
warm            w ao r m sp
warmish         w ao r m ih sh sp
warmongering    w ao r m aa ng g axr ix ng sp
warningly       w ao r n ix ng l iy sp
warping         w ao r p ix ng sp
warrior         w ao r iy axr sp
was             w ax z sp
wash            w ao sh sp
washer          w ao sh axr sp
washing         w ao sh ix ng sp
washington      w ao sh ix ng t ah n sp
wasn't          w ax z en t sp
wasp            w aa s p sp
waste           w ey s t sp
watch           w aa ch sp
watched         w aa ch t sp
watches         w aa ch ix z sp
water           w ao t axr sp
waters          w ao t axr z sp
wave            w ey v sp
waves           w ey v z sp
wax             w ae k s sp
waxing          w ae k s ix ng sp
waxy            w ae k s iy sp
way             w ey sp
ways            w ey z sp
we              w iy sp
we'd            w iy d sp
we'll           w ih l sp
we're           w ih r sp
we've           w iy v sp
weakens         w iy k ix n z sp
wealth          w eh l th sp
wealthy         w eh l th iy sp
weapon          w eh p ax n sp
weary           w ih r iy sp
weatherstrip    w eh dh axr s t r ih p sp
weave           w iy v sp
webbed          w eh b d sp
wedded          w eh d ix d sp
week            w iy k sp
weekend         w iy k eh n d sp
weeks           w iy k s sp
welcome         w eh l k ax m sp
well            w eh l sp
went            w eh n t sp
were            w er sp
