"'em" ax m
SILENCE sil
a  ax
salary  s ae l axr iy
sale  s ey l
salesmanship  s ey l z m ax n sh ih p
salesmen  s ey l z m ax n
salvation  s ae l v ey sh ix n
same  s ey m
sample  s ae m p el
samples  s ae m p el z
sampling  s ae m p el ix ng
sandwich  s ae n d w ih ch
sank  s ae ng k
sarcasm  s aa r k ae z em
sat  s ae t
satellites  s ae t ax l ay t s
satirical  s ae t ih r ih k el
satisfaction  s ae t ix s f ae k sh ix n
satisfy  s ae t ix s f ay
saturated  s ae ch uh r ey t ix d
saturday  s ae t axr d ey
sauerkraut  s aw axr k r aw t
savagely  s ae v ih jh l iy
save  s ey v
saved  s ey v d
say  s ey
saying  s ey ix ng
says  s eh z
scabbard  s k ae b axr d
scaffold  s k ae f el d
scalloped  s k aa l ax p t
scalp  s k ae l p
scampered  s k ae m p axr d
scar  s k aa r
scared  s k ae r d
scarf  s k aa r f
scattered  s k ae t axr d
scenery  s iy n axr iy
scenes  s iy n z
schedule  s k eh jh el
schnooks  sh n uh k s
scholar  s k aa l axr
scholars  s k aa l axr z
scholastic  s k ax l ae s t ih k
school  s k uw l
schools  s k uw l z
schooner  s k uw n axr
scientific  s ay ix n t ih f ih k
scientists  s ay ix n t ih s t s
scoop  s k uw p
scour  s k aw r
scouring  s k aw r ix ng
scout's  s k aw t s
scowled  s k aw el d
scraping  s k r ey p ix ng
scratch  s k r ae ch
scream  s k r iy m
screeched  s k r iy ch t
screen  s k r iy n
screw  s k r uw
screwdriver  s k r uw d r ay v axr
sculptor  s k ah l p t axr
sculpture  s k ah l p ch axr
se  s ey
sea  s iy
seam  s iy m
seamstresses  s iy m s t r eh s ix z
sear  s ih r
search  s er ch
season  s iy z en
seasoning  s iy z en ix ng
seats  s iy t s
seattle  s iy ae t el
second  s eh k ix n d
secondary  s eh k ix n d eh r iy
secret  s iy k r ix t
section  s eh k sh ix n
sector  s eh k t axr
secularist  s eh k y uh l axr ih s t
secured  s ih k y uh r d
security  s ix k y uh r ix t iy
see  s iy
seed  s iy d
seeds  s iy d z
seeing  s iy ix ng
seeker  s iy k axr
seekers  s iy k axr z
seeking  s iy k ix ng
seem  s iy m
seemed  s iy m d
seems  s iy m z
seen  s iy n
seismic  s ay z m ih k
seldom  s eh l d ax m
selected  s ax l eh k t ix d
selecting  s ax l eh k t ix ng
selection  s ax l eh k sh ix n
selections  s ax l eh k sh ix n z
selective  s ax l eh k t ih v
self  s eh l f
self's  s eh l f s
self-confident  s eh l f k aa n f ih d ix n t
self-contained  s eh l f k ax n t ey n d
self-deceiving  s eh l f d ih s iy v ix ng
self-sufficiency  s eh l f s ax f ih sh ix n s iy
seller  s eh l axr
semi  s eh m ih
semi-heights  s eh m ih hh ay t s
semidrying  s eh m ih d r ay ix ng
senate  s eh n ix t
send  s eh n d
sending  s eh n d ix ng
senior  s iy n y axr
sense  s eh n s
sensibly  s eh n s ih b l iy
sensitive  s eh n s ix t ih v
sensory  s eh n s axr iy
sensual  s eh n sh uw el
sentiment  s eh n t ax m ax n t
separate  s eh p axr ey t
separate  s eh p r ax t
sequoia  s ih k w oy ax
series  s ih r iy z
sermon  s er m ax n
serpent's  s er p ax n t s
serve  s er v
served  s er v d
serves  s er v z
service  s er v ax s
services  s er v ax s ix z
sesame  s eh s ax m iy
set  s eh t
sets  s eh t s
setting  s eh t ix ng
settle  s eh t el
seven  s eh v ax n
seventh  s eh v ax n th
seventy  s eh v ax n t iy
several  s eh v axr el
severe  s ax v ih r
sew  s ow
sewers  s uw axr z
sewing  s ow ix ng
sex  s eh k s
sexual  s eh k sh uw el
sexually  s eh k sh uh l iy
shabby  sh ae b iy
shackles  sh ae k el z
shade  sh ey d
shadow  sh ae d ow
shady  sh ey d iy
shaft  sh ae f t
shag  sh ae g
shaken  sh ey k ix n
shaker  sh ey k axr
shakers  sh ey k axr z
shaky  sh ey k iy
shall  sh ae l
shallowness  sh ae l ow n ix s
shame  sh ey m
shampoo  sh ae m p uw
shampooed  sh ae m p uw d
shape  sh ey p
shaped  sh ey p t
shapes  sh ey p s
share  sh ae r
sharks  sh aa r k s
sharp  sh aa r p
shattered  sh ae t axr d
shaving  sh ey v ix ng
she  sh iy
she'd  sh iy d
she's  sh iy z
shed  sh eh d
sheets  sh iy t s
sheik  sh iy k
sheila  sh iy l ax
shell  sh eh l
shellfish  sh eh l f ih sh
shelter  sh eh l t axr
sheltered  sh eh l t axr d
shelters  sh eh l t axr z
shelves  sh eh l v z
sherbet  sh er b ix t
sheriff  sh eh r ix f
sheriff's  sh eh r ix f s
shielding  sh iy l d ix ng
shimmered  sh ih m axr d
shimmering  sh ih m axr ix ng
shimmers  sh ih m axr z
ship  sh ih p
ship's  sh ih p s
shipbuilding  sh ih p b ih l d ix ng
shipmate  sh ih p m ey t
ships  sh ih p s
shipshape  sh ih p sh ey p
shirt  sh er t
shirtsleeve  sh er t s l iy v
shivering  sh ih v axr ix ng
shock  sh aa k
shocked  sh aa k t
shocking  sh aa k ix ng
shocks  sh aa k s
shoelaces  sh uw l ey s ix z
shoes  sh uw z
shone  sh ow n
shook  sh uh k
shoot  sh uw t
shop  sh aa p
shopkeepers  sh aa p k iy p axr z
shot  sh aa t
should  sh uh d
shoulder  sh ow l d axr
shouted  sh aw t ix d
shove  sh ah v
shovels  sh ah v el z
shoving  sh ah v ix ng
show  sh ow
showed  sh ow d
showering  sh aw axr ix ng
showers  sh aw axr z
showing  sh ow ix ng
shown  sh ow n
shows  sh ow z
shrapnel  sh r ae p n el
shredded  sh r eh d ix d
shredder  sh r eh d axr
shrieked  sh r iy k t
shrimp  sh r ih m p
shrinking  sh r ih ng k ix ng
shrubs  sh r ah b z
shrugged  sh r ah g d
shrugs  sh r ah g z
shucks  sh ah k s
shuddering  sh ah d axr ix ng
shuffle  sh ah f el
shut  sh ah t
shutter  sh ah t axr
shy  sh ay
siamese  s ay ax m iy z
sick  s ih k
side  s ay d
sides  s ay d z
sidewinder  s ay d w ay n d axr
sigh  s ay
sighing  s ay ix ng
sightseers  s ay t s iy axr z
sign  s ay n
signals  s ih g n el z
signed  s ay n d
significant  s ih g n ih f ix k ax n t
signs  s ay n z
silence  s ay l ax n s
silent  s ay l ax n t
silhouette  s ih l ow eh t
silky  s ih l k iy
silly  s ih l iy
silver  s ih l v axr
silverware  s ih l v axr w ae r
simmer  s ih m axr
simmered  s ih m axr d
simple  s ih m p el
simpler  s ih m p l axr
simplest  s ih m p l ax s t
simply  s ih m p l iy
sin  s ih n
since  s ih n s
sincere  s ix n s ih r
sincerity  s ix n s eh r ix t iy
sinewy  s ih n y uw iy
sing  s ih ng
singer's  s ih ng g axr z
single  s ih ng g el
single-handed  s ih ng g el hh ae n d ix d
singular  s ih ng g y uh l axr
sinuous  s ih n y uw ix s
sinus  s ay n ix s
sir  s er
sit  s ih t
site  s ay t
sitting  s ih t ix ng
situated  s ih ch uw ey t ix d
situation  s ih ch uw ey sh ix n
situations  s ih ch uw ey sh ix n z
six  s ih k s
sixty  s ih k s t iy
sixty-five  s ih k s t iy f ay v
size  s ay z
sized  s ay z d
sizzled  s ih z el d
skating  s k ey t ix ng
sketched  s k eh ch t
skewers  s k y uw axr z
ski  s k iy
skiffs  s k ih f s
skiing  s k iy ix ng
skill  s k ih l
skilled  s k ih l d
skills  s k ih l z
skin  s k ih n
skinless  s k ih n l ax s
skirmish  s k er m ih sh
skirt  s k er t
skirts  s k er t s
sky  s k ay
skywave  s k ay w ey v
slammed  s l ae m d
slanted  s l ae n t ix d
slapped  s l ae p t
slash  s l ae sh
slate  s l ey t
slavery  s l ey v axr iy
sleep  s l iy p
sleepily  s l iy p ax l iy
sleeping  s l iy p ix ng
sleepy  s l iy p iy
sleigh  s l ey
slept  s l eh p t
slid  s l ih d
slightly  s l ay t l iy
slip  s l ih p
slipped  s l ih p t
slipping  s l ih p ix ng
slips  s l ih p s
slope  s l ow p
slopes  s l ow p s
sloppy  s l aa p iy
slovenliness  s l aa v en l iy n ix s
slow  s l ow
slowed  s l ow d
slowly  s l ow l iy
sludge  s l ah jh
slug  s l ah g
slugging  s l ah g ix ng
sluicing  s l uw s ix ng
slums  s l ah m z
slyly  s l ay l iy
slyness  s l ay n ix s
smash  s m ae sh
smashed  s m ae sh t
smell  s m eh l
smelled  s m eh l d
smile  s m ay l
smiled  s m ay l d
smiles  s m ay l z
smiling  s m ay l ix ng
smiths  s m ih th s
smoke  s m ow k
smolderingly  s m ow l d axr ix ng l iy
smooth  s m uw dh
smoothed  s m uw dh d
smothered  s m ah dh axr d
snake  s n ey k
snake-rail  s n ey k r ey l
snakes  s n ey k s
snapper  s n ae p axr
snapping  s n ae p ix ng
snarled  s n aa r l d
snatched  s n ae ch t
sneezed  s n iy z d
snips  s n ih p s
snow  s n ow
snowed  s n ow d
so  s ow
soak  s ow k
soaked  s ow k t
sober  s ow b axr
social  s ow sh el
socialized  s ow sh ax l ay z d
society  s ix s ay ax t iy
socks  s aa k s
soil  s oy l
soils  s oy l z
solar  s ow l axr
sold  s ow l d
soldiering  s ow l jh axr ix ng
soldiers  s ow l jh axr z
solicits  s ax l ih s ix t s
solid  s aa l ix d
solid-state  s aa l ix d s t ey t
solidarity  s aa l ax d ae r ax t iy
solitary  s aa l ix t eh r iy
solitude  s aa l ix t uw d
solution  s ax l uw sh ix n
some  s ah m
somebody  s ah m b aa d iy
somebody'll  s ah m b aa d iy el
somehow  s ah m hh aw
someone  s ah m w ah n
someplace  s ah m p l ey s
something  s ah m th ih ng
sometime  s ah m t ay m
sometimes  s ah m t ay m z
somewhat  s ah m hh w aa t
somewhere  s ah m hh w ae r
son  s ah n
sonic  s aa n ih k
soon  s uw n
soothe  s uw dh
soothed  s uw dh d
soothingly  s uw dh ix ng l iy
sophisticated  s ax f ih s t ix k ey t ix d
sophistication  s ax f ih s t ix k ey sh ix n
sorrow  s aa r ow
sorry  s aa r iy
soul  s ow l
souls  s ow l z
sound  s aw n d
sounded  s aw n d ix d
soup  s uw p
sour  s aw axr
south  s aw th
southwest  s aw th w eh s t
soybean  s oy b iy n
soybeans  s oy b iy n z
space  s p ey s
spaced  s p ey s t
spade  s p ey d
spades  s p ey d z
spanish  s p ae n ih sh
spatial  s p ey sh el
speak  s p iy k
speaker  s p iy k axr
special  s p eh sh el
specialty  s p eh sh el t iy
species  s p iy sh iy z
specific  s p ax s ih f ih k
spectacular  s p eh k t ae k y uh l axr
spectator  s p eh k t ey t axr
spectator-type  s p eh k t ey t axr t ay p
speculated  s p eh k y uh l ey t ix d
speculations  s p eh k y uh l ey sh ix n z
speech  s p iy ch
spend  s p eh n d
spending  s p eh n d ix ng
spent  s p eh n t
sphere  s f ih r
spherical  s f ih r ih k el
spider  s p ay d axr
spike  s p ay k
spilled  s p ih l d
spinach  s p ih n ih ch
spirit  s p ih r ix t
spirited  s p ih r ix t ix d
spirits  s p ih r ix t s
spiritual  s p ih r ih ch uw el
spit  s p ih t
splashed  s p l ae sh t
splendidly  s p l eh n d ix d l iy
splendor  s p l eh n d axr
splinter  s p l ih n t axr
splurge  s p l er jh
splurged  s p l er jh d
spoilage  s p oy l ix jh
spoiled  s p oy l d
spoke  s p ow k
spoken  s p ow k ix n
spokes  s p ow k s
sponges  s p ah n jh ix z
sponsors  s p aa n s axr z
spot  s p aa t
spotted  s p aa t ix d
spouted  s p aw t ix d
sprained  s p r ey n d
sprang  s p r ae ng
spray  s p r ey
spread  s p r eh d
spreader  s p r eh d axr
spring  s p r ih ng
sprinkling  s p r ih ng k el ix ng
sprouted  s p r aw t ix d
sprouting  s p r aw t ix ng
spun  s p ah n
spurious  s p y uh r iy ax s
spurs  s p er z
sputniks  s p ah t n ih k s
square  s k w ae r
squared  s k w ae r d
squashy  s k w aa sh iy
squeaked  s k w iy k t
squeamishness  s k w iy m ih sh n ix s
squeezed  s k w iy z d
squelched  s k w eh l ch t
stab  s t ae b
stable  s t ey b el
stacked  s t ae k t
staff  s t ae f
stag  s t ae g
stage  s t ey jh
staggered  s t ae g axr d
stake  s t ey k
stake-out  s t ey k aw t
stampede  s t ae m p iy d
stand  s t ae n d
standardized  s t ae n d axr d ay z d
standards  s t ae n d axr d z
standby  s t ae n d b ay
star  s t aa r
starchy  s t aa r ch iy
stared  s t ae r d
start  s t aa r t
started  s t aa r t ix d
startling  s t aa r t el ix ng
state  s t ey t
statement  s t ey t m ax n t
states  s t ey t s
statue  s t ae ch uw
statuesque  s t ae ch uw eh s k
status  s t ae t ix s
stay  s t ey
stayed  s t ey d
steam  s t iy m
steaming  s t iy m ix ng
steel  s t iy l
steep  s t iy p
stems  s t eh m z
step  s t eh p
steph  s t eh f
stepladders  s t eh p l ae d axr z
stepmother  s t eh p m ah dh axr
steps  s t eh p s
sterilization  s t eh r el ax z ey sh ix n
steve  s t iy v
stew  s t uw
stick  s t ih k
stiffly  s t ih f l iy
still  s t ih l
stimulates  s t ih m y uw l ey t s
stimulating  s t ih m y uw l ey t ix ng
stinging  s t ih ng ix ng
stings  s t ih ng z
stirred  s t er d
stirrin  s t er en
stirrup  s t er ah p
stirrup-guard  s t er ah p g aa r d
stock  s t aa k
stockings  s t aa k ix ng z
stockroom  s t aa k r uw m
stoicism  s t ow ax s ih z em
stole  s t ow l
stomach  s t ah m ax k
stomped  s t aa m p t
stone  s t ow n
stoneware  s t ow n w ae r
stood  s t uh d
stool  s t uw l
stoop  s t uw p
stop  s t aa p
stopped  s t aa p t
stopping  s t aa p ix ng
stopwatch  s t aa p w aa ch
straight  s t r ey t
straightened  s t r ey t en d
strain  s t r ey n
strained  s t r ey n d
stranded  s t r ae n d ix d
stranger  s t r ey n jh axr
strategic  s t r ax t iy jh ih k
strategy  s t r ae t ix jh iy
stray  s t r ey
stream  s t r iy m
streamed  s t r iy m d
streamlined  s t r iy m l ay n d
streams  s t r iy m z
street  s t r iy t
streets  s t r iy t s
strength  s t r eh ng th
strengthen  s t r eh ng th ix n
stress  s t r eh s
stretched  s t r eh ch t
strike  s t r ay k
strikingly  s t r ay k ix ng l iy
strip  s t r ih p
striped  s t r ay p t
stripped  s t r ih p t
strippers  s t r ih p axr z
strolled  s t r ow l d
struck  s t r ah k
structural  s t r ah k ch axr el
structure  s t r ah k ch axr
structures  s t r ah k ch axr z
struggle  s t r ah g el
struggling  s t r ah g el ix ng
stuck  s t ah k
students  s t uw d en t s
students'  s t uw d en t s
studio  s t uw d iy ow
study  s t ah d iy
stumping  s t ah m p ix ng
stung  s t ah ng
stupid  s t uw p ix d
style  s t ay l
stylish  s t ay l ih sh
subdued  s ah b d uw d
subgroups  s ah b g r uw p s
subject  s ah b jh ih k t
subjective  s ah b jh eh k t ih v
submarine  s ah b m axr iy n
submit  s ax b m ih t
substances  s ah b s t ix n s ix z
substantial  s ah b s t ae n sh el
substantially  s ah b s t ae n sh ax l iy
subsystems  s ah b s ih s t ax m z
subtitles  s ah b t ay t el z
subtraction  s ah b t r ae k sh ix n
suburban  s ah b er b ix n
suburbanites  s ah b er b ix n ay t s
suburbs  s ah b er b z
subway  s ah b w ey
succeeding  s ax k s iy d ix ng
success  s uh k s eh s
successful  s uh k s eh s f uh l
successfully  s uh k s eh s f uh l iy
successors  s uh k s eh s axr z
such  s ah ch
sucking  s ah k ix ng
sudden  s ah d en
suddenly  s ah d en l iy
suey  s uw iy
suffer  s ah f axr
suffered  s ah f axr d
suffers  s ah f axr z
sufficiency  s ax f ih sh ix n s iy
sufficient  s ax f ih sh ix n t
sufficiently  s ax f ih sh ix n t l iy
sugar  sh uh g axr
suggestion  s ax jh eh s ch en
suicide  s uw ax s ay d
suit  s uw t
suitable  s uw t ax b el
suitably  s uw t ax b l iy
suite  s w iy t
sullen  s ah l ax n
sulphur  s ah l f axr
sum  s ah m
summer  s ah m axr
summertime  s ah m axr t ay m
sun  s ah n
sunburn  s ah n b er n
sunburned  s ah n b er n d
sundae  s ah n d ey
sundown  s ah n d aw n
sung  s ah ng
sunlight  s ah n l ay t
sunshine  s ah n sh ay n
superb  s uh p er b
superbly  s uh p er b l iy
superior  s ax p ih r iy axr
superiors  s ax p ih r iy axr z
supervision  s uw p axr v ih zh ix n
supervisory  s uw p axr v ay z axr iy
supper  s ah p axr
suppers  s ah p axr z
supplements  s ah p l ax m ax n t s
supplies  s ax p l ay z
suppose  s ax p ow z
supreme  s ax p r iy m
sure  sh uh r
sure-sure  sh uh r sh uh r
surely  sh uh r l iy
surface  s er f ax s
surfaceness  s er f ax s n ix s
surfaces  s er f ax s ix z
surfeit  s er f ax t
surgeon  s er jh ix n
surplus  s er p l ah s
surprise  s axr p r ay z
surprising  s axr p r ay z ix ng
surprisingly  s axr p r ay z ix ng l iy
surrender  s axr eh n d axr
surrounded  s axr aw n d ix d
survey  s er v ey
surveying  s axr v ey ix ng
survival  s axr v ay v el
survive  s axr v ay v
susceptible  s ix s eh p t ax b el
suspect  s ix s p eh k t
suspiciously  s ix s p ih sh ax s l iy
swam  s w ae m
swatches  s w aa ch ix z
sweat  s w eh t
sweater  s w eh t axr
sweaters  s w eh t axr z
swedish  s w iy d ih sh
sweet  s w iy t
sweet-sour  s w iy t s aw axr
sweetheart  s w iy t hh aa r t
sweetly  s w iy t l iy
swells  s w eh l z
swiftly  s w ih f t l iy
swig  s w ih g
swimming  s w ih m ix ng
swing  s w ih ng
swirled  s w er l d
swiss  s w ih s
switched  s w ih ch t
switches  s w ih ch ix z
swivel  s w ih v el
swollen  s w ow l ix n
swung  s w ah ng
symbolic  s ih m b aa l ih k
symbolism  s ih m b ax l ih z em
symbolize  s ih m b ax l ay z
symbols  s ih m b el z
symmetrical  s ax m eh t r ih k el
sympathetically  s ih m p ax th eh t ih k ax l iy
symposium  s ih m p ow z iy ax m
symptom  s ih m p t ax m
synagogue  s ih n ih g aa g
synonymous  s ix n aa n ax m ax s
syrup  s ih r ax p
system  s ih s t ax m
systems  s ih s t ax m z
table  t ey b el
tables  t ey b el z
tackle  t ae k el
tad  t ae d
tadpole  t ae d p ow l
tag  t ae g
tail  t ey l
tailored  t ey l axr d
tails  t ey l z
take  t ey k
taken  t ey k ix n
takes  t ey k s
takin'  t ey k en
taking  t ey k ix ng
tale  t ey l
talent  t ae l ix n t
tallyho  t ae l iy hh ow
tame  t ey m
tan  t ae n
tank  t ae ng k
tantalizing  t ae n t ax l ay z ix ng
tape  t ey p
tapes  t ey p s
tapestry  t ae p ax s t r iy
target  t aa r g ix t
targets  t aa r g ix t s
task  t ae s k
tasks  t ae s k s
tasteful  t ey s t f uh l
tastes  t ey s t s
tax  t ae k s
tax-aided  t ae k s ey d ix d
taxation  t ae k s ey sh ix n
taxi  t ae k s iy
taxicab  t ae k s iy k ae b
taxpayer  t ae k s p ey axr
tea  t iy
teach  t iy ch
teacher  t iy ch axr
teaching  t iy ch ix ng
team  t iy m
tears  t ih r z
teased  t iy z d
teaspoons  t iy s p uw n z
technical  t eh k n ih k el
technique  t eh k n iy k
techniques  t eh k n iy k s
technological  t eh k n ax l aa jh ih k el
technology  t eh k n aa l ax jh iy
teems  t iy m z
teeny  t iy n iy
teeth  t iy th
telephone  t eh l ax f ow n
telephoning  t eh l ax f ow n ix ng
tell  t eh l
tellers  t eh l axr z
tells  t eh l z
temper  t eh m p axr
temperate  t eh m p axr ix t
tempo  t eh m p ow
temptation  t eh m p t ey sh ix n
temptations  t eh m p t ey sh ix n z
tempted  t eh m p t ix d
ten  t eh n
tenant  t eh n ix n t
tenant's  t eh n ix n t s
tend  t eh n d
tended  t eh n d ix d
tenderness  t eh n d axr n ix s
tends  t eh n d z
tensely  t eh n s l iy
tension  t eh n sh ix n
tentacles  t eh n t ih k el z
tenure  t eh n y axr
term  t er m
terms  t er m z
terrible  t eh r ax b el
terrier  t eh r iy axr
terrific  t axr ih f ih k
terrifying  t eh r ax f ay ix ng
test  t eh s t
test-run  t eh s t r ah n
testicle  t eh s t ih k el
testimony  t eh s t ix m ow n iy
tests  t eh s t s
tetanus  t eh t n ix s
tethered  t eh dh axr d
text  t eh k s t
texts  t eh k s t s
texture  t eh k s ch axr
than  dh ae n
thank  th ae ng k
thanks  th ae ng k s
thanksgiving  th ae ng k s g ih v ix ng
that  dh ae t
that'll  dh ae t el
that's  dh ae t s
the  dh ax
theaters  th iy t axr z
their  dh ae r
theirs  dh ae r z
them  dh eh m
theme  th iy m
themes  th iy m z
themselves  dh eh m s eh l v z
then  dh eh n
theocracy  th iy aa k r ix s iy
theory  th ih r iy
therapies  th eh r ax p iy z
therapy  th eh r ax p iy
there  dh ae r
there's  dh ae r z
thereafter  dh ae r ae f t axr
thereby  dh ae r b ay
thermal  th er m el
thermometer  th axr m aa m ax t axr
thermometers  th axr m aa m ax t axr z
thermonuclear  th er m ow n uw k l iy axr
these  dh iy z
they  dh ey
they'd  dh ey d
they'll  dh ey l
they're  dh ae r
they've  dh ey v
thick  th ih k
thief  th iy f
thighs  th ay z
thimble  th ih m b el
thin  th ih n
thing  th ih ng
things  th ih ng z
think  th ih ng k
thinker  th ih ng k axr
thinkin  th ih ng k ix n
thinking  th ih ng k ix ng
thinks  th ih ng k s
thinner  th ih n axr
third  th er d
thirty  th er t iy
thirty-five  th er t iy f ay v
this  dh ih s
thomas  t aa m ix s
thoroughbred  th er ow b r eh d
thoroughfares  th er ow f ae r z
thoroughly  th er ow l iy
those  dh ow z
thou  dh aw
though  dh ow
thousand  th aw z en d
thread  th r eh d
threatening  th r eh t en ix ng
three  th r iy
three-inch  th r iy ih n ch
threw  th r uw
thrill  th r ih l
thrived  th r ay v d
throat  th r ow t
thrombosis  th r aa m b ow s ix s
through  th r uw
throughout  th r uw aw t
throw  th r ow
thrower  th r ow axr
thrusting  th r ah s t ix ng
thruway  th r uw w ey
thump  th ah m p
thursday's  th er z d ey z
thursdays  th er z d ey z
thus  dh ah s
thyroid  th ay r oy d
tidbits  t ih d b ih t s
tides  t ay d z
tie  t ay
tied  t ay d
tight  t ay t
tiles  t ay l z
tilted  t ih l t ix d
tim  t ih m
timber  t ih m b axr
time  t ay m
timers  t ay m axr z
times  t ay m z
timing  t ay m ix ng
tin  t ih n
tinder  t ih n d axr
tinkled  t ih ng k el d
tinsel  t ih n s el
tiny  t ay n iy
tips  t ih p s
tired  t ay axr d
tissue  t ih sh uw
title  t ay t el
titter  t ih t axr
to  t uw
toast  t ow s t
tobacco  t ax b ae k ow
today  t ix d ey
today'll  t ix d ey el
today's  t ix d ey z
todd  t aa d
toddler  t aa d l axr
toe  t ow
tofu  t ow f uw
together  t ix g eh dh axr
toilet  t oy l ix t
told  t ow l d
tolerated  t aa l axr ey t ix d
toll  t ow l
tom  t aa m
tomblike  t uw m l ay k
tomboy  t aa m b oy
tombstones  t uw m s t ow n z
tomorrow  t ax m aa r ow
tongue  t ah ng
too  t uw
too-naked  t uw n ey k ix d
took  t uh k
tool  t uw l
tooth  t uw th
toothbrush  t uw th b r ah sh
toothpaste  t uw th p ey s t
top  t aa p
topography  t ax p aa g r ax f iy
topping  t aa p ix ng
total  t ow t el
touch  t ah ch
touchdown  t ah ch d aw n
touched  t ah ch t
touches  t ah ch ix z
tough  t ah f
tour  t uh r
towel  t aw el
town  t aw n
toxic  t aa k s ih k
toy  t oy
traced  t r ey s t
track  t r ae k
tracks  t r ae k s
trade  t r ey d
tradition  t r ax d ih sh ix n
traditionalism  t r ax d ih sh ix n el ih z em
traffic  t r ae f ih k
tragedy  t r ae jh ix d iy
tragic  t r ae jh ih k
trail  t r ey l
train  t r ey n
training  t r ey n ix ng
trait  t r ey t
traits  t r ey t s
tranquilizers  t r ae ng k w ih l ay z axr z
transact  t r ae n s ae k t
transcendence  t r ae n s eh n d ix n s
transience  t r ae n s iy ix n s
transit  t r ae n s ix t
translated  t r ae n s l ey t ix d
transmit  t r ae n s m ih t
transparent  t r ae n s p ae r ax n t
trap  t r ae p
travel  t r ae v el
traveler  t r ae v el axr
travelers  t r ae v el axr z
travelled  t r ae v el d
tray  t r ey
treated  t r iy t ix d
treatment  t r iy t m ax n t
treats  t r iy t s
tree  t r iy
trees  t r iy z
trembled  t r eh m b el d
tremor  t r eh m axr
tremulously  t r eh m y uh l ax s l iy
trend  t r eh n d
trend-following  t r eh n d f aa l ow ix ng
trends  t r eh n d z
trespassing  t r eh s p ae s ix ng
trial  t r ay el
trials  t r ay el z
tribes  t r ay b z
trick  t r ih k
tried  t r ay d
tries  t r ay z
trifle  t r ay f el
triggered  t r ih g axr d
trim  t r ih m
trip  t r ih p
trips  t r ih p s
trish  t r ih sh
triumphant  t r ay ah m f ax n t
triviality  t r ih v iy ae l ix t iy
tropical  t r aa p ih k el
trouble  t r ah b el
trousers  t r aw z axr z
truck  t r ah k
trucks  t r ah k s
true  t r uw
truism  t r uw ih z em
truly  t r uw l iy
trunks  t r ah ng k s
trustworthy  t r ah s t w er dh iy
truth  t r uw th
try  t r ay
trying  t r ay ix ng
tsunami  t s uw n aa m iy
tub  t ah b
tube  t uw b
tugboats  t ah g b ow t s
tumbled  t ah m b el d
tunafish  t uw n ax f ih sh
tunnels  t ah n el z
turbulent  t er b y uh l ax n t
turmoil  t er m oy l
turn  t er n
turned  t er n d
turnpikes  t er n p ay k s
turns  t er n z
turpentine  t er p ax n t ay n
turquoise  t er k oy z
tweezers  t w iy z axr z
twelfth  t w eh l f th
twelve  t w eh l v
twenty  t w eh n t iy
twenty-five  t w eh n t iy f ay v
twenty-nine  t w eh n t iy n ay n
twenty-three  t w eh n t iy th r iy
twenty-two  t w eh n t iy t uw
twice  t w ay s
twigged  t w ih g d
twilight  t w ay l ay t
twins  t w ih n z
twisted  t w ih s t ix d
twitched  t w ih ch t
two  t uw
twofold  t uw f ow l d
tycoons  t ay k uw n z
type  t ay p
types  t ay p s
typhoid  t ay f oy d
typhus  t ay f ax s
typical  t ih p ih k el
typically  t ih p ih k l iy
tyrannical  t ix r ae n ih k el
tyranny  t ih r ae n iy
ugly  ah g l iy
ultrasonic  ah l t r ax s aa n ih k
umbrella  ah m b r eh l ax
unabashed  ah n ax b ae sh t
unanimity  y uw n ix n ih m ax t iy
unappreciated  ah n ax p r iy sh iy ey t ix d
unavailable  ah n ax v ey l ix b el
unbeatable  ah n b iy t ax b el
unbelievable  ah n b ax l iy v ax b el
unbound  ah n b aw n d
unbroken  ah n b r ow k ix n
uncertain  ah n s er t en
uncommon  ah n k aa m ax n
unconvincing  ah n k ax n v ih n s ix ng
uncover  ah n k ah v axr
undeniably  ah n d iy n ay ax b l iy
under  ah n d axr
under-age  ah n d axr ey jh
underbrush  ah n d axr b r ah sh
underfoot  ah n d axr f uh t
understand  ah n d axr s t ae n d
understanding  ah n d axr s t ae n d ix ng
understandingly  ah n d axr s t ae n d ix ng l iy
understood  ah n d axr s t uh d
underwriting  ah n d axr r ay t ix ng
undesirable  ah n d ih z ay r ax b el
unduly  ah n d uw l iy
uneasily  ah n iy z ax l iy
uneasy  ah n iy z iy
unenthusiastic  ah n ih n th uw z iy ae s t ih k
unevenly  ah n iy v ax n l iy
unexpected  ah n ih k s p eh k t ix d
unexpectedly  ah n ih k s p eh k t ix d l iy
unfenced  ah n f eh n s t
unhappy  ah n hh ae p iy
unhurried  ah n hh er iy d
uni  y uw n iy
uni-directional  y uw n iy d axr eh k sh ix n el
uninterrupted  ah n ih n t axr ah p t ix d
union  y uw n y ix n
unions  y uw n y ix n z
uniqueness  y uw n iy k n ix s
unit  y uw n ix t
units  y uw n ix t s
unity  y uw n ix t iy
universality  y uw n ix v er s ae l ix t iy
universe  y uw n ax v er s
university  y uw n ix v er s ix t iy
university-wide  y uw n ix v er s ix t iy w ay d
unjustified  ah n jh ah s t ix f ay d
unknown  ah n ow n
unless  ax n l eh s
unlimited  ah n l ih m ix t ix d
unlined  ah n l ay n d
unlucky  ah n l ah k iy
